month|price
10/03/2017|$84.36
22/03/2017|$40.60
25/03/2017|$28.85
30/03/2017|$76.76
08/04/2017|$5.77
08/04/2017|$65.57
15/04/2017|$34.88
19/04/2017|$86.80
28/04/2017|$8.61
30/04/2017|$43.72
03/05/2017|$50.98
08/05/2017|$64.68
10/05/2017|$86.08
10/05/2017|$48.90
10/05/2017|$14.64
13/05/2017|$89.81
14/05/2017|$2.17
14/05/2017|$27.71
18/05/2017|$1.62
23/05/2017|$48.77
27/05/2017|$70.88
30/05/2017|$93.18
11/06/2017|$68.46
17/06/2017|$70.03
06/07/2017|$70.77
07/07/2017|$29.39
08/07/2017|$41.85
15/07/2017|$60.71
15/07/2017|$74.41
16/07/2017|$29.61
17/07/2017|$25.20
21/07/2017|$36.44
24/07/2017|$69.61
25/07/2017|$13.89
01/08/2017|$68.02
02/08/2017|$71.35
03/08/2017|$41.04
03/08/2017|$85.64
12/08/2017|$74.47
14/08/2017|$80.62
24/08/2017|$10.05
24/08/2017|$71.33
31/08/2017|$0.34
06/09/2017|$29.74
07/09/2017|$49.49
11/09/2017|$49.42
12/09/2017|$81.28
12/09/2017|$62.15
